execution_id,task_id,title,owner,priority,due_date,status,project,sprint,plan,result,verify,review_delta,recorded_at
TK-303-01,TK-303,Provide example slot package,Workflow,P0,2026-04-18,todo,mvp,sprint-005,"补齐安全审查插槽与文档产出插槽两个官方示例，为后续样例流程与验收仓库提供可复用输入","已创建任务卡并纳入 sprint-005","与 docs/mvp-issue-backlog.md、TK-301 和 TK-505 依赖关系对齐","",2026-03-14
TK-503-01,TK-503,Provide CI invocation and exit code contract,CLI,P0,2026-04-19,todo,mvp,sprint-005,"收口非交互式运行参数、退出码语义与 CI 调用姿势，为模板和验收仓库提供统一入口","已创建任务卡并纳入 sprint-005","与 docs/mvp-issue-backlog.md、TK-206、TK-501 和 TK-504/TK-505 依赖关系对齐","",2026-03-14
TK-504-01,TK-504,Provide example CI template,DevEx,P0,2026-04-20,todo,mvp,sprint-005,"基于 TK-503 的 CI 约定提供至少一个主流 CI 模板与接入说明","已创建任务卡并纳入 sprint-005","与 docs/mvp-issue-backlog.md、TK-503 依赖关系对齐","",2026-03-14
TK-505-01,TK-505,Prepare MVP acceptance repository and scripts,QA,P0,2026-04-22,todo,mvp,sprint-005,"准备 MVP 验收仓库、验收脚本和记录模板，串起 init/plan/check/review/report 的验收路径","已创建任务卡并纳入 sprint-005","与 docs/mvp-issue-backlog.md、TK-104、TK-205、TK-206、TK-303、TK-503 依赖关系对齐","",2026-03-14
TK-303-02,TK-303,Provide example slot package,Workflow,P0,2026-04-18,done,mvp,sprint-005,"实现官方示例插槽包，提供安全审查与文档产出两类 YAML 示例，并补齐 README 与 schema 校验测试","已新增 examples/slot-packages/official/、docs/mvp/sprint-005/example-slot-package.md 与 test/slots/example-slot-package.test.js","/opt/homebrew/bin/npm run test 通过","",2026-03-14
TK-303-03,TK-303,Provide example slot package,Workflow,P0,2026-04-18,done,mvp,sprint-005,"","已完成 TK-303 自检复核并生成已复核 CR 记录","复核确认示例插槽 YAML、接入说明、能力边界和测试覆盖已经对齐","CR 结果落盘为 docs/mvp/sprint-005/code-review/verified_review_tk-303-provide-example-slot-package.md",2026-03-14
TK-503-02,TK-503,Provide CI invocation and exit code contract,CLI,P0,2026-04-19,done,mvp,sprint-005,"实现 CI 调用约定，补齐退出码文档、脚本入口，并让 review/review-verify 在 strict 模式下可把 warning 视为失败","已新增 docs/mvp/sprint-005/ci-invocation-contract.md、scripts/ci/、命令级 --strict 支持和对应测试","/opt/homebrew/bin/npm run test 通过","",2026-03-14
TK-503-03,TK-503,Provide CI invocation and exit code contract,CLI,P0,2026-04-19,done,mvp,sprint-005,"","已完成 TK-503 自检复核并生成已复核 CR 记录","复核确认 CI 脚本、退出码语义、命令接线和测试覆盖已经对齐","CR 结果落盘为 docs/mvp/sprint-005/code-review/verified_review_tk-503-provide-ci-invocation-contract.md",2026-03-14
TK-504-02,TK-504,Provide example CI template,DevEx,P0,2026-04-20,done,mvp,sprint-005,"实现主流 CI 模板，优先提供 GitHub Actions 样例，并复用 scripts/ci/ 形成最小门禁链路","已新增 examples/ci/github-actions-governance.yml 与 docs/mvp/sprint-005/github-actions-template.md","/opt/homebrew/bin/npm run test 通过","",2026-03-14
TK-504-03,TK-504,Provide example CI template,DevEx,P0,2026-04-20,done,mvp,sprint-005,"","已完成 TK-504 自检复核并生成已复核 CR 记录","复核确认模板步骤、环境变量约定和脚本引用关系已经对齐","CR 结果落盘为 docs/mvp/sprint-005/code-review/verified_review_tk-504-provide-example-ci-template.md",2026-03-14
TK-505-02,TK-505,Prepare MVP acceptance repository and scripts,QA,P0,2026-04-22,done,mvp,sprint-005,"实现 MVP 验收资产，提供需求输入、验收记录模板、端到端验收脚本，并把它纳入自动化测试","已新增 examples/mvp-acceptance/、scripts/acceptance/run-mvp-acceptance.sh、docs/mvp/sprint-005/mvp-acceptance-kit.md 与 test/acceptance/mvp-acceptance-kit.test.js","/opt/homebrew/bin/npm run test 通过","",2026-03-14
TK-505-03,TK-505,Prepare MVP acceptance repository and scripts,QA,P0,2026-04-22,done,mvp,sprint-005,"","已完成 TK-505 自检复核并生成已复核 CR 记录","复核确认验收脚本、样例输入、记录模板和端到端测试已经对齐","CR 结果落盘为 docs/mvp/sprint-005/code-review/verified_review_tk-505-prepare-mvp-acceptance-kit.md",2026-03-14
