execution_id,task_id,title,owner,priority,due_date,status,project,sprint,plan,result,verify,review_delta,recorded_at
TK-701-01,TK-701,Establish GA release flow and version policy,Release,P0,2026-05-19,done,release-ga,sprint-001,"补齐正式发布流程与版本策略说明，并把 changelog 与 GA 关键校验项接入现有 release check，避免流程只停留在文档层","已新增 CHANGELOG.md 与 ga-release-flow.md，补齐 release:ga-check，并让 check-release-ready.js 校验 semver 版本、publish access、CHANGELOG 与 GA 必要检查项","PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/node --test test/release/release-distribution.test.js && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run release:check","","2026-03-14"
TK-701-02,TK-701,Establish GA release flow and version policy,Release,P0,2026-05-19,done,release-ga,sprint-001,"完成 TK-701 自检复核","版本策略、GA 门禁、CHANGELOG 模板和脚本校验项已复核对齐","复核通过","code-review/verified_review_tk-701-establish-ga-release-flow.md","2026-03-14"
TK-701-03,TK-701,Establish GA release flow and version policy,Release,P0,2026-05-19,done,release-ga,sprint-001,"补齐 CHANGELOG 中文版，并把双语发布文档纳入 GA release readiness 校验","已新增 CHANGELOG.zh-CN.md，更新 ga-release-flow.md，并让 check-release-ready.js 同时校验中英文 CHANGELOG 与 README","PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run release:check && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/node --test test/release/release-distribution.test.js && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run check","","2026-03-14"
TK-701-04,TK-701,Establish GA release flow and version policy,Release,P0,2026-05-19,done,release-ga,sprint-001,"完成 TK-701 / TK-702 双语发布文档与 sprint 收口复核","双语 changelog、双语 README、release 门禁与 sprint 收口状态已复核对齐","复核通过","code-review/verified_review_tk-701-tk-702-bilingual-release-docs.md","2026-03-14"
TK-702-01,TK-702,Author README quick start and getting started docs,Docs,P0,2026-05-20,done,release-ga,sprint-001,"补齐仓库根目录 README、稳定的 Quick Start 和更完整的 getting started 示例，同时把 README 纳入 release readiness 检查","已新增根目录 README.md、docs/quick-start.md、docs/getting-started-example.md，覆盖 init、doctor、plan、check、review、report 的最小可运行路径，并让 release:check 强制校验 README.md","PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run release:check && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/node --test test/release/release-distribution.test.js && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run check","","2026-03-14"
TK-702-02,TK-702,Author README quick start and getting started docs,Docs,P0,2026-05-20,done,release-ga,sprint-001,"完成 TK-702 自检复核","README、Quick Start、示例上手路径与当前 CLI 能力已复核对齐","复核通过","code-review/verified_review_tk-702-author-readme-and-quick-start.md","2026-03-14"
TK-702-03,TK-702,Author README quick start and getting started docs,Docs,P0,2026-05-20,done,release-ga,sprint-001,"补齐 README 中文版并建立中英文互链，确保对外入口具备双语可读性","已新增 README.zh-CN.md，并在 README.md / CHANGELOG.md 中补齐语言切换入口和双语发布说明","PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run release:check && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/node --test test/release/release-distribution.test.js && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run check","","2026-03-14"
TK-702-04,TK-702,Author README quick start and getting started docs,Docs,P0,2026-05-20,done,release-ga,sprint-001,"完成 TK-701 / TK-702 双语发布文档与 sprint 收口复核","双语 README、双语 changelog、release 门禁与 sprint 收口状态已复核对齐","复核通过","code-review/verified_review_tk-701-tk-702-bilingual-release-docs.md","2026-03-14"
TK-703-01,TK-703,Build remote release tag and changelog automation skeleton,ReleaseOps,P1,2026-05-21,done,release-ga,sprint-001,"补齐远端 release workflow 骨架、release notes 渲染脚本、tag/changelog 约定和 secrets 前置条件说明，并把骨架纳入本地 release readiness 校验","已新增 .github/workflows/release-ga.yml、scripts/release/render-release-notes.js 和 remote-release-automation.md，让 release:check 强制校验远端 workflow 与 release notes 脚本存在","PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/node --test test/release/release-automation.test.js && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run release:check && PATH=/opt/homebrew/bin:$PATH /opt/homebrew/bin/npm run check","","2026-03-14"
TK-703-02,TK-703,Build remote release tag and changelog automation skeleton,ReleaseOps,P1,2026-05-21,done,release-ga,sprint-001,"完成 TK-703 自检复核","workflow 输入、tag/release/publish 条件化步骤、NPM_TOKEN 前置条件和 release notes 渲染链路已复核对齐","复核通过","code-review/verified_review_tk-703-build-remote-release-automation.md","2026-03-14"
