execution_id,task_id,title,owner,priority,due_date,status,project,sprint,plan,result,verify,review_delta,recorded_at
TK-951-00,TK-951,Design automation controller model and execution state machine,Architecture,P0,2026-03-20,done,automation-v1,sprint-001,"输出 automation-v1 控制模型文档并明确模式状态机阶段契约高风险门禁stage-to-surface 路由与 preflight 契约","已新增 docs/automation-v1/sprint-001/automation-controller-model.md 并同步 TK-951 与 sprint 文档引用","PATH=/opt/homebrew/bin:$PATH npm run check","","2026-03-17"
TK-951-01,TK-951,Design automation controller model and execution state machine,Architecture,P0,2026-03-20,done,automation-v1,sprint-001,"完成 TK-951 自检复核并确认可进入 TK-952","已生成 docs/automation-v1/sprint-001/code-review/verified_review_tk-951-design-automation-controller-model.md","复核确认控制模型文档与任务台账同步一致","CR 结论为无阻断问题","2026-03-17"
TK-952-00,TK-952,Implement run command minimum orchestration,Core Runtime,P0,2026-03-21,todo,automation-v1,sprint-001,"实现 run 命令 preflight+阶段编排执行，路由到指定 AI surface 并输出结构化结果","pending","pending","","2026-03-16"
TK-952-01,TK-952,Implement run command minimum orchestration,Core Runtime,P0,2026-03-21,done,automation-v1,sprint-001,"实现 run 命令最小编排链路（preflight、stage 路由、dry-run、稳定退出码）并完成 schema 扩展","已新增 src/commands/run-command.js 并接入 command-registry/cli 分发，扩展 automation 配置字段 defaultSurface/routingProfile/routing/profiles/preflight，补齐 test/commands/run-command.test.js","PATH=/opt/homebrew/bin:$PATH node --test","","2026-03-17"
TK-952-02,TK-952,Implement run command minimum orchestration,Core Runtime,P0,2026-03-21,done,automation-v1,sprint-001,"完成 TK-952 自检复核并确认可进入 TK-953","已生成 docs/automation-v1/sprint-001/code-review/verified_review_tk-952-implement-run-command.md","复核确认 run 命令最小编排验收项已覆盖","CR 结论为无阻断问题","2026-03-17"
TK-952-03,TK-952,Implement run command minimum orchestration,Core Runtime,P0,2026-03-21,done,automation-v1,sprint-001,"按评审意见对齐 run 流程到 plan/task：需求输入→需求草拟→方案评审（AI+人）→任务拆解→任务开发/评审循环，并将角色路由与探针改为配置驱动","已重构 src/commands/run-command.js 的流程阶段与 task-loop 结束判定（依赖 tasks.csv + resolved_review），并扩展 automation.surfaces/taskLoop/process；更新 test/commands/run-command.test.js 覆盖可配置角色路由和自定义探针","PATH=/opt/homebrew/bin:$PATH node --test && PATH=/opt/homebrew/bin:$PATH npm run check","按用户 diff comments 完成流程与可配置化修正，满足与 plan/task 体系融合诉求","2026-03-17"
TK-952-04,TK-952,Implement run command minimum orchestration,Core Runtime,P0,2026-03-21,done,automation-v1,sprint-001,"按评审意见补齐 run 前置 loop：需求草案 review/复核与技术方案生成/review/复核修改循环，并保持阶段路由可配置","已更新 src/commands/run-command.js 默认流程为 requirements-draft -> draft-review-loop -> technical-solution-loop -> task-breakdown -> task-delivery-loop，同时扩展 governor.schema.json 的 draftReviewLoop/solutionReviewLoop/taskLoop.stageId，并更新 test/commands/run-command.test.js 断言","PATH=/opt/homebrew/bin:$PATH node --test test/commands/run-command.test.js && PATH=/opt/homebrew/bin:$PATH node --test && PATH=/opt/homebrew/bin:$PATH npm run check","按用户 diff comments 完成流程补全，去除 run 流程中缺失的前置方案循环","2026-03-17"
TK-952-05,TK-952,Implement run command minimum orchestration,Core Runtime,P0,2026-03-21,done,automation-v1,sprint-001,"沉淀默认流程+用户自编排技术方案并优化当前任务执行结果表达","已新增 docs/automation-v1/sprint-001/default-and-custom-orchestration-solution.md，更新 sprint 索引与 TK-952 任务卡说明，明确默认模板+配置编排双轨模型与后续演进建议","文档索引与任务台账（TK-952/checklist/tasks.csv）同步一致","按用户评审意见补齐技术方案记录并优化任务执行结果可读性","2026-03-17"
TK-953-00,TK-953,Implement permission tiers and high-risk confirmation gates,Security,P0,2026-03-23,todo,automation-v1,sprint-001,"实现权限分级、风险识别、required-surface 策略和人工确认阻断策略","pending","pending","","2026-03-16"
TK-953-01,TK-953,Implement permission tiers and high-risk confirmation gates,Security,P0,2026-03-23,done,automation-v1,sprint-001,"在 run 流程中实现权限分级模型高风险识别与人工确认门禁，并补齐 required-surface 在 preflight 的 pause/block 策略","已在 src/commands/run-command.js 新增 policy-gate 阶段和高风险规则引擎，支持 --approve-risk 显式确认并在 run 输出新增 policy 与 preflight.pausing 字段；同时补齐 test/commands/run-command.test.js 的门禁回归用例","node --test test/commands/run-command.test.js && node --test","","2026-03-17"
